review,author,date,star_rating
"Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,  ",suci A.,13 Des 2023,5
"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",Ayyuk A.,3 minggu lalu,5
tidak sesuai ekspektasi ,Third-Party-User,17 Okt 2023,5
pas..sesuai gambar dan pesanan..trimkasih seller..lazada dan kurir..sukses buat semua.. ,sant I.,18 Nov 2023,5
"Bahan:bagus
 Ukuran:sesuai
 Rancangan:rapih
 ",Alifah,17 Okt 2023,5
kegedean bangettttttttttttttttt ,Sae E.,14 Nov 2023,4
"Celana kargo yang trendi dan fungsional.,  ",Nia R.,12 Des 2023,5
cantik banget ,L***.,20 Okt 2023,5
"Rancangan:
tidak sesuai pesanan ",0***9,19 Okt 2023,5
celana ukuran remaja jd kl dewasa kurang gedhe  ,nanik S.,4 minggu lalu,4
"Bahan:jelek
 Ukuran:kkecillan
 Rancangan:jelek semua ",nineng N.,13 Des 2023,4
"Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",8***6,21 Nov 2023,5
bagus mantaf👍👍 ,0***1,17 Okt 2023,5
"bagus 
 Ukuran:pas ",0***4,20 Okt 2023,5
bagus sesuai harga..anak ku suka terimaksh salam sukses selalu ,w***.,13 Nov 2023,4
"Kain nyaman dan bernapas., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",Rosita,13 Des 2023,5
"Mudah dipadukan dengan berbagai outfit.,  ",8***9,3 minggu lalu,5
aku dengan model celananya .kainnya halu dan ringan.cocok di pakai untuk santai ,Armi A.,19 Nov 2023,5
bahanny gajelasss ga sesuaii espektasi sy. ,Ahmad A.,13 Des 2023,5
"bahan y bagus kok cuman pas dtng plastik nya udh sobek
 ",Ariqah O.,18 Okt 2023,5
"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis.,  ",Maryati,13 Des 2023,5
"Bahan:tipis, nerawang  ",Aprilia K.,20 Okt 2023,5
bagus nyaman di pakai  ,8***3,14 Nov 2023,5
Bagus mantep ,Shella H.,18 Nov 2023,5
cukup memuaskan dgn harga segitu. ,0***5,4 minggu lalu,5
"Bahan: bgsss
 Ukuran: sesuaiiii
 Rancangan: rapihhh   
 ",Farahdhilah T.,13 Des 2023,5
the best poknmah cck bgtt Hhha😁👍👍 ,Tya A.,4 minggu lalu,5
bagusss bgt murah tidak murahan tp di aku agak sempit dikit😁 tapi masih bagus kok jgn ragu beli di toko ini ,noorarofikha,13 Nov 2023,5
"kerenn banget udah order yang ke 2 kalinyaaa, thanks y,next orderr lagii  ",*********742,15 Des 2023,5
bagusssss ,kika,16 Okt 2023,5
"pengiriman cepat, barang sesui🤗😍 ",Ayu A.,13 Des 2023,5
bagus banget. terimakasih ya🥰🙏 ,*********732,17 Nov 2023,5
"Bahan:bagus  
 Ukuran:pas
 Rancangan:pikirnya ad resleting nya kak eh mala ngak ad tapi ngka apa"" bagus
 ",Agnes U.,17 Okt 2023,5
celana nya ok ,mumun A.,10 Des 2023,5
cute😗 ,Siti N.,2 minggu lalu,5
gede bngt di aku 🙈 ,herna W.,03 Des 2023,5
top Marko top bag us sekalih makanya says pesen magi Kurir jugabaik Dan so pan selalu but langanan sayaterima kasih buattokonya dankurirnya ,Karniti D.,26 Nov 2023,5
"Kain nyaman dan bernapas., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",Elan88964,26 Nov 2023,5
sesuai jarga ,8***3,12 Nov 2023,5
bagus ,Citra M.,06 Jan 2024,5
keren ,Umi S.,26 Des 2023,5
baik  ,ameliawp23,29 Des 2023,5
ok lh ,sarim,04 Des 2023,5
"Bahan:bagus
 Ukuran:kegedean
 Rancangan:bagus si walau pinggang nya kegedean ",citra J.,03 Okt 2023,5
"bahan nya bagus
 ",*********629,29 Okt 2023,5
lumayan ,jocko212,16 Nov 2023,4
"Bahan:crincle
 Ukuran:standar
biar bintang yang rekomendasikan 😍😍 ",YURARA S.,15 Okt 2023,5
Dikiri bukan kolor ternyata kolor bagis sih cuman baru sekali pake langsung bolong😒 ,Mas T.,15 Okt 2023,5
bagus,*********384,15 Jan 2024,5
okee ,Deliyanti,21 Okt 2023,5
lmyn ,Imas N.,21 Okt 2023,5
baik ,guest,02 Jan 2024,5
bgus ,sherinaauliyanie,16 Des 2023,5
"terakota bhan nya bgus dan tebal walaupun ukuran nya kebesaran di aku,  dan krna bgus aku juga bli yg hitam, klu yg hitam bhn nya tipis dan nerawang tapi bgus pas ukuran nya di aku, klu pake yg hitam aku jdi pake lejing daleman nya, dan kurirnya baik juga ramah, trima ksih buat tokoh nya dan mas kurir nya, krna pengiriman nya cpt bnget jdi aku ngerasa puas pokonya mantul👍👍👍👍 ",Yunani,08 Okt 2023,5
"bagus
 ",Jijah,03 Des 2023,5
Ukuran:kebesaran ,8***7,01 Okt 2023,5
warna dan bhn sesuai  cmn ukuran.y gk sesuai aku psn standar yg dtg jumbo ,Warno 0.,08 Jan 2024,4
"Bahan:bagus 
 Ukuran:pas
 Rancangan:pakai 
 ",8***7,06 Jan 2024,4
"Rancangan:
sesuai harga ",*********108,02 Jan 2024,4
"Alhamdulillah bagus banget sama dengan yang di poto...
jangngan ragu beli di toko ini bagus banget cuss di cek out
makasih ke lazada sama Kuriri nya juga ramah banget kalo sama yang langganan mah kalo bukan nya enggak  ",Sitijuliah S.,10 Okt 2023,5
"Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan., trimakaseh Lazada.. ",Dewi A.,18 Jan 2024,4
ga sesuai ekspektasi saya  ,Reva A.,21 Des 2023,4
"pesen xxl datengnya s. 
 ",b***r,02 Des 2023,4
warna y sesuai cmn ukuran.y gk sesuai aku psn standar dtg  jumbo ,Warno 0.,08 Jan 2024,4
"celananya bagus, sesuai dengan harga, toko amanah, terimakasih, semoga makin larisBeragam pilihan warna yang dapat dipilih.,  ",S***.,2 minggu lalu,4
emmmm lumayannn okeeeeeeee lahhhh😉😉😉😉😉😉😉 ,Puput I.,2 minggu lalu,4
"Bahan:
Alhamdulillah barang nya sesuai gambar thank lazada  ",SINDI S.,14 Okt 2023,5
tipis ga sesuai  ,Hanani D.,11 Okt 2023,5
"Bahan:tidak sesuai
 Ukuran:tidak sesuai
 Rancangan:tidak sesuai

sangat
sangat
sangat mengecewakan ",A***a,28 Nov 2023,4
"celana nya bagus sih tapi sayang di aku kegedean, tapi gpp masih bisa di pake orang  ",Wiwin W.,28 Des 2023,4
"Celana kargo serbaguna untuk berbagai acara.,  ",Priska A.,17 Jan 2024,4
"Kain nyaman dan bernapas.,  ",Ana R.,11 Jan 2024,4
"celananya ke gdean
 ",Aples,02 Jan 2024,4
"Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi., Beragam pilihan warna yang dapat dipilih., Pas sempurna dengan desain high waist., Beragam pilihan warna yang dapat dipilih.,  ",8***9,09 Des 2023,4
celana nya bgus cuma agak tipis 😁 ,Linda,14 Des 2023,4
"keren Poko nmh,,,
walaupun seler nya slow respon  ",A***i,17 Jan 2024,4
"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",Dewi A.,18 Jan 2024,4
Bahan nya bagus tapi ukurannya ga sesuai ,EkaaChalondra,13 Okt 2023,5
ga sesuai di gambar tp ydh lh ga apa apa terimakasih ya seler☺ ,0***8,08 Jan 2024,4
"suka, cuman jahitan kurang rapih ",E***.,30 Des 2023,4
"demi apapun ini bagus bgtt sya smpe beli lagi untuk yg kedua kalinya next bkll beli lgi yg wrna lain
 Bahan:mayan gak nrawang
 Ukuran:pass bgtt ccok
 Rancangan:bgss gda yg ccatt ",Y***a,1 minggu lalu,4
Bagus lembut bahanny ,*********551,11 Okt 2023,5
Bagus Sesuai harapan🤗 ,Minihh,1 minggu lalu,4
cantik ,guest,16 Nov 2023,5
you ,okih S.,26 Des 2023,5
pik ,Warno 0.,15 Jan 2024,5
pik ,Warno 0.,15 Jan 2024,5
"goood 
 ",Mila Y.,24 Sep 2023,5
ok ,Azmys,30 Des 2023,5
ok ,ujang A.,18 Des 2023,5
"gmn ya, bgs iya cuma jahitan ny ga kokoh sobek trs..suda sy jahit atas nya lgi sobek pdhl d cba pke duduk doang, sedikit kecewa. ",novitaharyani69,10 Des 2023,4
Bagus  ,*********551,11 Okt 2023,5
"Bahan: sangat tipis

 Ukuran:pas
 Rancangan:sangat bagus ",Yonanda S.,10 Okt 2023,5
"Bahan:tipis tapi Adem dipake 
 Ukuran:standar size 
 Rancangan:gak ngecewakan costumer aku suka sama celana 
 ",**********288,10 Okt 2023,5
"ga sesuai, celananya jelek banget ",Emiliana J.,10 Okt 2023,5
ok ,najwa18cell,13 Des 2023,5
"Bahan:cukup tipis
 Ukuran:pas
 Rancangan:sangat bagus
semuanya bagus, cm bahannya agak tipis jd takut robek pas d pknya. ",V***.,08 Okt 2023,4
"Bahan:bagis
 Ukuran:pas
 Rancangan:jaitan rapih ",Rima,05 Okt 2023,5
sya kira dpn nya kancingan + ressleting jg sprti di gmbar trnyta ngk tpi gpp lh  ,****1,24 Sep 2023,4
good  ,A***.,10 Des 2023,4
"Bahan:adem
 Ukuran:pas
 Rancangan:ok ",Nining Y.,02 Okt 2023,5
knpa kulot ya dkirim ka??? ,*********172,03 Okt 2023,5
,callystaaaa,14 Des 2023,5
,Muhammad A.,07 Des 2023,5
"Bahan:gak tebal dan gak tipis
 Ukuran:kegedean soalnya ngga bisa pilih ukuran
 Rancangan:jahitan nya kurang rapih ",R***.,20 Nov 2023,3
,najwa18cell,13 Des 2023,5
,Nani S.,4 minggu lalu,5
pesan warna cream yg di kirim warna lain!!!!!!!!!!!!!!!!! ,8***0,23 Des 2023,3
"alhamdulillah sesuai,tadiny udah aku batalin takut gk sesuai tapi di tolak,, ",Diyanah P.,10 Nov 2023,3
"Bahan:tipis
 Ukuran:terlalu besar
 Rancangan:amburadul
 ",YAQUB M.,14 Okt 2023,2
"kecewa berat sih,, pesen cargo datengnya kulot,,kecewa parah inimah ",R***.,4 minggu lalu,2
lumayan harga segitu ,Lisna S.,09 Nov 2023,3
bagus bahan dan warnany pas dcobain muat perutny tp ga muat dpahany..alamat kudu dpermak lg dtkng jahit ini mah..,Linda S.,14 Des 2023,3
"bagus tapi gampang sobek
 Bahan:agak tipis ",amalia N.,29 Des 2023,3
"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Pas sempurna dengan desain high waist.,  ",d***.,07 Des 2023,3
"bgus 
TPI kain nya Merawang  ",8***4,22 Des 2023,3
"parah bgtt dikirim nya beda dri foto.
mana gedee bgt😭😭 ",A***.,27 Okt 2023,3
"Bahanya tipis kainnya jatuh, sedikit panjang, Rancangannya bagus, cuman jahitanya sedikit kurang rapi,, tapi Lumayanlah dg harga sangat murah ",0***6,19 Des 2023,3
"Bahan:mym
 Ukuran:kbsrn
 Rancangan:b sja ",Octa A.,19 Des 2023,3
"Bahan:lumayan lah dengan harga yang segitu
 Ukuran:celana nya kegedean di aku

 ",Oci,24 Okt 2023,3
kebesaran ukuran tidak sesuai saya kecewa tidak real pic ,N***.,08 Des 2023,3
"Bagus untuk aktivitas di luar ruangan.,  ",Priska A.,17 Jan 2024,3
"Celana kargo serbaguna untuk berbagai acara., Pas sempurna dengan desain high waist.,  ",Gina D.,2 minggu lalu,3
"katany kancing hidup,, ",0***5,29 Des 2023,2
"ukurannya standar tapi di aku tetep kebesaran,kainnya juga ga sesuai ekspetasi aku dikiranya tebel ternyata tipis banget.mau kecewa tapi untuk harga segitu mau minta gimana ",e***n,24 Des 2023,3
"Tidak sesuai ekspektasi. Tapi gapapa, masih nyaman di pakai... ",R***.,03 Des 2023,3
"penipuan,,pngn barang CPT abis kirim nya asal,,,punya mata ga,,,kalian dengan gampang nya bilang retur ,,emang ga ribet klo retur,,,,pantes lama ngirim nya nyari barang yg warna nya sama ya,tp model ga sesuai,,,kecewa,,gq berkah usaha nya,,kluarin aja pihak lazada toko yg mentingin diri sendiri kaya gini,,ngapokin pelanggan...apapun niat ga baik,,ga bakal berkah...",8***2,18 Okt 2023,1
saya pesan 4 yg datang hanya 3 ,Nahaar R.,14 Des 2023,1
bahan tipis barang tidak sesuai dengan di foto sangat kecewa tidak sesuai dengan harga segitu  ,guest,04 Nov 2023,1
tidak sesuai gambar  ,Nhur S.,12 Okt 2023,2
"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",g***t,03 Jan 2024,2
"Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Bahan yang tahan lama untuk penggunaan jangka panjang., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan.,  ",Ajisyaputra,05 Jan 2024,2
kurng bagus untuk bagian slengkangan nya ketat bwh nya gombrong  ,Jenny J.,06 Des 2023,2
celana yang diterima ngga sesuai sama gambar dan deskripsi ,A***.,22 Des 2023,2
mabasbshehebebenrnrnrnr ,Ariadi,21 Des 2023,2
🙃 kebesaran di aq,*********928,02 Jan 2024,2
"Bahan:bahan nya tidak sesuai
 Ukuran:pas 
 Rancangan:mayan aja  ",Abiya,04 Jan 2024,2
"Rancangan:

warna brown nya terlalu cerah/pudar  ",toni R.,25 Okt 2023,2
warna dan bahan tidk sesuai ,Ardellia A.,4 hari lalu,2
kecewa ,Lita L.,02 Des 2023,2
"apaaan katanya cargo, gw beli kulot biasa dislike! ",Chellsy L.,26 Sep 2023,1
"pesen waran putuh ko yang datang coklat gimna sih😌
 Bahan:adem sih tipis lagih 
 Ukuran:muat 
 Rancangan:tipiss tapi g ppa lah harga nya juga pas sesuai mungkin🙄 ",g***t,09 Okt 2023,1
"makasih,kira bahan katun ,eh malah ngaret ... gak sesuai d gambar kaya nya... ",088289366100 7.,3 hari lalu,1
cln nya sudah keterima kain nya enaken adem  ,Melani M.,17 Jan 2024,1
"payah gak ada sletingnya , padahal mau jadi langganan . dichatt jg gadirespon sama sekali .  ",*********541,13 Jan 2024,1
bener2 bedaa bgt sama gambar. di gambar celana cargo tp yg dtg celana kulot polos biasa. hadeh ,Mia,30 Des 2023,1
bahannya tipis g sesuai ,Angelia O.,1 hari lalu,1
mff baru komen kmrn waktu ngatrin paket kurir y jutek bgtt ,"Mmh,salwa",29 Nov 2023,1
bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,Intan M.,11 Des 2023,1
sangat kecewa celananya gak sesuai gambar ,S***.,15 Des 2023,1
celan anya bagusss  sesuai sama yg di gambar saya sukaa ,Iis I.,30 Des 2023,1
ok ,Titian,01 Okt 2023,1
