review,author,date,star_rating
"Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional.,  ",melia N.,11 Jan 2024,5
"Desain highwaist sedang trendi., Kain nyaman dan bernapas.,  ",S***.,13 Jan 2024,5
"bagus bangett,bahannya juga bagus Pokoknya the besar bangett🥰😍,ga nyesel beliii disinii ",AISYAH P.,06 Des 2023,5
terimakasih ,Rifaa,14 Des 2023,5
pengirimannya cepat sesuai pesanan saya bagus..tapi pesaknya terlalu tinggi gak nyaman di pakenya sama resletingnya gak cocok ,Yati,05 Des 2023,5
"Bahan:bagus 
 Ukuran:pas 
 Rancangan:sangat bagus dan sangat nyaman digunakan terimakasih  ",L***.,16 Des 2023,5
wah bagus pisan ,*********349,13 jam lalu,5
"Mudah dipadukan dengan berbagai outfit., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan., Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Desain highwaist sedang trendi.,  ",V***.,28 Des 2023,5
"realpict...
Hanya saja aku pesan 3, dan yg warna hitam harusnya ukuran jumbo...tp dikirim satu ukuran standar  ",Komaria N.,08 Des 2023,5
"paket sudah diterima,kondisi bagus,cuman bahan agak tipis menerawang,harus pakai dobelan,kualitas sesuai harga,anak senang memakainya karena model baru,terima kasihMudah dipadukan dengan berbagai outfit., Beragam pilihan warna yang dapat dipilih.,  ",ELWI,16 Des 2023,5
"Celana kargo yang trendi dan fungsional.,  ",C***.,06 Des 2023,5
"bagusss ikh suka,smga jadi langganan aku yah ",Sukmawati,22 Des 2023,5
"pengiriman cepat
pengemasan bagus
barang realpic
next order lagi ",8***9,3 minggu lalu,5
"Bahan:crinkle 
 Ukuran:pas
 Rancangan:bagus dehh
suka sama bahannya adem sukaa pokoknyaaa ",jihan,29 Sep 2023,4
baguss  ,*********792,2 minggu lalu,5
"ini celananya bagus sih, tapi tipis bangettt, jadi harus pake celana double biar ga terlalu nyeplak. terus juga di aku ketat, apa memang kaya gini ya modelnya?, kurang tau sii. bisa juga karna pahaku kebesaran😁 ",n***a,31 Des 2023,5
"bagus lumayan dengan harga segitu,bahan nya jatoh dan lumayan tebal ",Eva A.,10 Nov 2023,4
ah mantap sekaliiiiiii yaaa  ,Dhëel J.,3 minggu lalu,5
"Bahan:bgus adem
 Ukuran:28
 Rancangan:bangus buat kemana bisa buat main
 ",dinda A.,3 minggu lalu,5
bagus banget rel pick  ,guest,4 minggu lalu,5
"Bahan:bagus
 Ukuran:besar
 Rancangan:bagus
bahan adem sedikit nerawang, tapi baguss ",S***.,3 minggu lalu,5
sesuai pesanan 👍👍👍 ,8***1,18 Okt 2023,5
"Bahan:crincle
 Ukuran:29
 Rancangan:keren poll
 ",Muti A.,16 Nov 2023,4
"nnnnnnnnnnnnneeeeeeeerrrrrrrrraaaaaaawwwwwaaanngggggg
 Bahan:nrwng ",A***.,15 Des 2023,4
"Bahan:bagus
 Ukuran:XL
sudah saya terima paketnya
kenapa paketnya tidak sesuai gambar
 ",Nhur S.,12 Okt 2023,5
bagus banget celananya.ukuran pas. panjangnya pas. pengiriman cepat 2hari sampe. ukuran jumbo pas bgt BB aku 64 TB 157.  ,mamah R.,3 minggu lalu,5
buat kalian yang masih bingung jangan ragu order disini aku bb 70 masi muat dan longgar ga nyesel next order lgi ,Malaa,15 Des 2023,5
bagus sii mnrtku lumayan ,8***7,15 Des 2023,5
"Bahan:adem
 Ukuran:pas
 Rancangan:bagus
alhamdullilah barangnya udh nyampai makasih
 ",f***.,28 Sep 2023,5
bagus bangett Nexs order lagi walaupun bahany ga tebel tapi bagus ,guest,22 Sep 2023,4
barang lah sampai dengan selamat dan kurir nya ramah.barang sperti di foto dan pas ukuran ,Febry O.,2 minggu lalu,4
"nyesel bangttt bli bnyk g sesuai modell mana lgi pesanan orng al hasil pada g mau , besok lagi yng teliti kak ",8***5,13 Okt 2023,5
"Bahan:halus, jatuh, gak gampang kusut
 Ukuran:agak kepanjangan sedikit, tp gpp
 Rancangan:bagus, sesuai gambar, cuma bahannya agak tipis aja, ya mungkin sesuai sama harga ",Santhy,16 Des 2023,4
jdiduhshshsbdhhdhdnjfjjcncncnnxjdjdjndndndnnxnxnjxjsnx ,Nurmayangsari S.,07 Des 2023,4
"Bahan:nyaman
 Ukuran:pas

Bagus sih bahannya nyaman, ya meskipun gak sama di gambar tapi bagus, aku suka banget.😍😘😘 ",Syifa F.,3 minggu lalu,4
pengriman nya cpat bangt dan clananya pas buat adik sya ..nanti sya order.lgi mkasih 🙏 ,D***.,07 Okt 2023,5
"Bahan:crinkle
 Ukuran:gede bgt ah
 Rancangan:baguussssss



baguuus sihhhh cakep bangeeettttttt ",Nurul F.,05 Okt 2023,5
trima kasi Lazada barangnya bagus sekali ,*********236,10 Okt 2023,5
"Bahan:bgs 
 Ukuran:pas

 Rancangan:sesuai  ",f***.,01 Okt 2023,4
"Bahan:bagus mantap sesuai

 Ukuran:pas juga
 Rancangan:bahannyq bagus banget
 ",Third-Party-User,23 Sep 2023,5
makasih seler dan juga kurir.y barang tiba dgn selamat selalu pik ,Warno 0.,13 Jan 2024,5
sangat bagus  ,guest,28 Des 2023,5
"model sama tapi bhan.y ko beda.
ini kaya kolor bhan.y. ",********926,2 minggu lalu,5
"jumbo,,mksihh,, ",N***i,3 minggu lalu,5
"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis.,  ",Anis I.,1 hari lalu,5
"keren celana nya.
sesuai gmbar.
saku ny ad 5. 
sesuai yg diinginkan.
mksh seller.🤗 ",Sonia,25 Okt 2023,5
bgus. bgwt,8***1,06 Nov 2023,5
sesuai dengan pesenan ok bgtt bagus ,Aripin 0.,28 Nov 2023,5
bagus bgt ,0***6,08 Jan 2024,5
"Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi.,  ",Nurhayati,15 Des 2023,5
bagussss bgtt sayang yg hitamnya dikirim beda 😭 ,Aulia N.,27 Okt 2023,5
"Bahan:bagus
 Ukuran:kegedean di badan
 Rancangan:menarik  ",F***i,26 Okt 2023,5
kk celana nya bagus bgt muat di bb aku 85 smoga awet ea celana nya bahan bagus bgt adem di pake lembut poko nya nanti mau order lagi ,********556,04 Des 2023,5
"Buagusssss polllll,syukaaaaaa🙏🏻😭 ",adeliaputri,06 Des 2023,5
"Celana kargo yang stylish dan modis., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist.,  ",Eli W.,13 Jan 2024,5
bagus celananya nyaman dipake bahan crinckle jatuh ,Dhirfin,25 Des 2023,5
Rancangan:bagus ,Dhika D.,2 minggu lalu,5
"celana ga sesuai gambar,ga jls kecil bgt",bunda J.,22 Nov 2023,5
"paket udah datang barangnya bagus dan jatoh lagi
pokonya sip ",8***0,1 minggu lalu,5
"Mudah dipadukan dengan berbagai outfit.,  ",Rupiyanti,1 hari lalu,5
"Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi.,  ",0***1,3 hari lalu,5
"Kain nyaman dan bernapas.,  ",*********207,01 Jan 2024,5
ok  dengan harga segitu ,*********465,21 Des 2023,5
Rancangan:bagus ,Dhika D.,2 minggu lalu,5
"Pas sempurna dengan desain high waist.,  ",8***8,30 Nov 2023,5
Bahan:  good  ,Lina,30 Des 2023,5
"Bagus untuk aktivitas di luar ruangan.,  ",NISA S.,2 minggu lalu,5
"ukuran jumbo,,,sesuai mksih,, ",N***i,3 minggu lalu,5
Alhamdulillah...nyampek juga bhnnya crinkle tpi lumayan bagus ,AHMAD Z.,11 Jan 2024,5
baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,*********649,21 Des 2023,5
Bagus bngt ,0***1,28 Des 2023,5
UK standar masih longgar di aku yang BB nya 60 ,Adah E.,2 minggu lalu,5
keren clanay bgus amah walaupun hitamy bukan hitam pekat TPI sya ska ,Third-Party-User,15 Des 2023,5
terlalu cintahh dengan ini produkk🥰 ,niaaaa,10 Nov 2023,5
celana ny kegedean tapi gapapa bagus banget celananya aku suka😻 ,Siti M.,08 Des 2023,5
clna nya kecil ,Th A.,21 Des 2023,5
"pket ny udah sampai,celana ny bagus dengan harga segitu,mksh lazada,mksh buat kurir ny ",Eceu N.,13 Jan 2024,5
"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ",Siti A.,1 minggu lalu,5
celananya bagus panjangx sesuai dan kain tebal clanax agak gombrang d aku tapi suka cantik sekali next order lagi ,guest,19 Des 2023,5
"Celana kargo serbaguna untuk berbagai acara.,  ",8***9,3 minggu lalu,5
bagus banget gak nyesel belanja di tokoh ini Nex order lagi,*********332,11 Des 2023,5
"Bahan:ADEM BAGUS
 Ukuran:PAS BGET
 Rancangan:
BAGUS BANGET DEH POKOKNYA.. MAAF YAH GAK SEMPAT FOTO ",Ryan K.,30 Des 2023,5
Alhamdulillah paket udh mendarat tp kegedean tp anak saya suka trimakasih lazadah ,Mamahdzakirah,29 Des 2023,5
"Bagus untuk aktivitas di luar ruangan.,  ",8***9,3 minggu lalu,5
"BAGUSSSS BANGETTTT
 Bahan:  lembut ",s***.,17 Des 2023,5
clna bagus tpi buat BB 60 kekecilan  ,siti S.,16 Des 2023,5
"Celana kargo yang stylish dan modis., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara., ",Dedeh W.,26 Des 2023,5
bgus poll... ,sitinuryeni,07 Des 2023,5
"buaguseeee polll mantappp,mau beli lagih semoga ga naik harganyaaa🥲 ",0***2,20 Des 2023,5
"Celana kargo yang trendi dan fungsional.,  ",Sinta B.,6 hari lalu,5
"Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan.,  ",*********969,11 Des 2023,5
aku suka bget.kainnya lembut warnanya cantik2. ,Azmys,30 Des 2023,5
